iter	Logloss
0	0.6053192165
1	0.5276871633
2	0.4661476343
3	0.4169176818
4	0.3785995823
5	0.34474165
6	0.3138104921
7	0.2889951519
8	0.2674844616
9	0.2501335447
10	0.2352011282
11	0.2230740771
12	0.2128539729
13	0.2043162276
14	0.1975831192
15	0.1909562753
16	0.1851067452
17	0.1806197263
18	0.1759345408
19	0.1716145526
20	0.1677190479
21	0.1650715467
22	0.162318167
23	0.1603640071
24	0.1582963826
25	0.1565763238
26	0.1551193036
27	0.1537130388
28	0.1522113425
29	0.1510559531
30	0.1499163131
31	0.1488938224
32	0.1478230087
33	0.1470945307
34	0.1463704786
35	0.1454280273
36	0.1447939847
37	0.1440614327
38	0.1435494443
39	0.1428622571
40	0.1422961715
41	0.141678748
42	0.1411195201
43	0.1405277385
44	0.1401517383
45	0.139522145
46	0.1392077088
47	0.1389228746
48	0.1385408013
49	0.1381639134
50	0.1377110672
51	0.1374084059
52	0.1371809065
53	0.1369756128
54	0.1367340718
55	0.1364591665
56	0.1360186049
57	0.1358253085
58	0.1355949181
59	0.1353749955
60	0.1351940382
61	0.134819847
62	0.1347012382
63	0.1344679702
64	0.1342996926
65	0.1341037492
66	0.1339661558
67	0.1337883923
68	0.1336322026
69	0.1334733534
70	0.133252539
71	0.133120012
72	0.1328407691
73	0.1327037106
74	0.132526913
75	0.1324106436
76	0.1322847808
77	0.1321676747
78	0.1320308282
79	0.1318848246
80	0.1317779902
81	0.1316032093
82	0.1315035336
83	0.1313946879
84	0.1312959558
85	0.1311919291
86	0.1310731334
87	0.130980772
88	0.1308305056
89	0.1306965256
90	0.1305093183
91	0.1303427265
92	0.130243055
93	0.1301266981
94	0.1300308664
95	0.1299279096
96	0.129831718
97	0.1296802358
98	0.1295387181
99	0.1294418319
100	0.1293367127
101	0.129260142
102	0.1291385581
103	0.1290031533
104	0.1288850232
105	0.1287847595
106	0.1286680243
107	0.1286040801
108	0.1285202954
109	0.1284154312
110	0.1283216064
111	0.1282511838
112	0.1281349471
113	0.1280515766
114	0.1279269246
115	0.127830106
116	0.1277551579
117	0.1276893069
118	0.1276204972
119	0.1275538185
120	0.1274556704
121	0.1273905502
122	0.1273131202
123	0.1272388927
124	0.1271516464
125	0.1270674469
126	0.1269842233
127	0.1268648041
128	0.1268095512
129	0.1267486033
130	0.1266663805
131	0.1265708475
132	0.1264851591
133	0.126419709
134	0.1263243705
135	0.1262638168
136	0.1261669488
137	0.1260961464
138	0.1260284245
139	0.1259113609
140	0.1258203321
141	0.1257514095
142	0.1256321425
143	0.1255577816
144	0.125460544
145	0.1253894116
146	0.1253150314
147	0.1252518417
148	0.12517374
149	0.1250960637
150	0.1250429449
151	0.1249714019
152	0.1248955663
153	0.124829103
154	0.1247515523
155	0.1246569279
156	0.124572591
157	0.1245202631
158	0.1244691148
159	0.124377951
160	0.1242812138
161	0.1242370032
162	0.1241423603
163	0.1240639122
164	0.1239807691
165	0.1239149069
166	0.1238485286
167	0.1237682032
168	0.1236894233
169	0.1236242462
170	0.1235731131
171	0.12351365
172	0.1234635136
173	0.1233824176
174	0.1233480479
175	0.1232768088
176	0.1232100172
177	0.1231641933
178	0.1230893799
179	0.1230265145
180	0.1229528911
181	0.1228962558
182	0.1228586838
183	0.1227755165
184	0.122724405
185	0.1226529487
186	0.1225658586
187	0.1224966739
188	0.1223971485
189	0.1223213177
190	0.1222643644
191	0.1221996678
192	0.1221347553
193	0.122075489
194	0.1220128905
195	0.1219475957
196	0.1218852568
197	0.1218068167
198	0.121744208
199	0.1216445219
200	0.1215873305
201	0.1215270281
202	0.1214656095
203	0.1213916869
204	0.1213490808
205	0.1213065667
206	0.1212414197
207	0.1211966947
208	0.1211302382
209	0.121085217
210	0.12102264
211	0.120965335
212	0.1208982932
213	0.1208340467
214	0.120788855
215	0.1207183711
216	0.120652627
217	0.1206097972
218	0.1205719044
219	0.120510131
220	0.1204251205
221	0.1203869079
222	0.1203301267
